"train_id","train_number","seq_number","sttn_code","wtt_dprt_time","wtt_arvl_time","ptt_dprt_time","ptt_arvl_time","day_of_run","run_time","intr_dist","cum_dist","zone_code","dvsn_code","loco_change_point","loco_traction_change","block_section_speed","wtt_dprt_time_sec","wtt_arvl_time_sec","ptt_dprt_time_sec","ptt_arvl_time_sec"
829917,"12488",92,"PRYJ","17:00","16:55","17:00","16:55","1,1,1,1,1,1,1","420.00","3.69","622.10","NCR","PRYJ",NULL,"N",130,61245,60945,61200,60900
829917,"12488",93,"NYN","17:10","17:10","00:00","00:00","1,1,1,1,1,1,1","420.00","7.62","629.72","NCR","PRYJ",NULL,"N",130,61845,61845,0,0
829917,"12488",94,"PCOI","17:11","17:11","00:00","00:00","1,1,1,1,1,1,1","60.00","1.46","631.18","NCR","PRYJ",NULL,"N",130,61905,61905,0,0
829917,"12488",95,"KCN","17:16","17:16","00:00","00:00","1,1,1,1,1,1,1","270.00","9.22","640.40","NCR","PRYJ",NULL,"N",130,62175,62175,0,0
829917,"12488",96,"BEP","17:20","17:20","00:00","00:00","1,1,1,1,1,1,1","255.00","9.11","649.51","NCR","PRYJ",NULL,"N",130,62430,62430,0,0
829917,"12488",97,"MJA","17:25","17:25","00:00","00:00","1,1,1,1,1,1,1","315.00","11.05","660.56","NCR","PRYJ",NULL,"N",130,62745,62745,0,0
829917,"12488",98,"UND","17:29","17:29","00:00","00:00","1,1,1,1,1,1,1","240.00","8.35","668.91","NCR","PRYJ",NULL,"N",130,62985,62985,0,0
829917,"12488",99,"MNF","17:33","17:33","00:00","00:00","1,1,1,1,1,1,1","240.00","8.15","677.06","NCR","PRYJ",NULL,"N",130,63225,63225,0,0
829917,"12488",100,"JIA","17:37","17:37","00:00","00:00","1,1,1,1,1,1,1","240.00","8.31","685.37","NCR","PRYJ",NULL,"N",130,63465,63465,0,0
829917,"12488",101,"GAE","17:41","17:41","00:00","00:00","1,1,1,1,1,1,1","195.00","7.05","692.42","NCR","PRYJ",NULL,"N",130,63660,63660,0,0
829917,"12488",102,"BEO","17:57","17:57","00:00","00:00","1,1,1,1,1,1,1","255.00","8.28","700.70","NCR","PRYJ",NULL,"N",130,64620,64620,0,0
829917,"12488",103,"BDL","18:05","18:05","00:00","00:00","1,1,1,1,1,1,1","120.00","3.92","704.62","NCR","PRYJ",NULL,"N",130,65130,65130,0,0
829917,"12488",104,"MZP","18:22","18:20","18:17","18:15","1,1,1,1,1,1,1","300.00","7.36","711.98","NCR","PRYJ",NULL,"N",130,66150,66030,65820,65700
829917,"12488",105,"JHG","18:30","18:30","00:00","00:00","1,1,1,1,1,1,1","240.00","8.32","720.30","NCR","PRYJ",NULL,"N",130,66630,66630,0,0
829917,"12488",106,"PRE","18:37","18:37","00:00","00:00","1,1,1,1,1,1,1","210.00","7.41","727.71","NCR","PRYJ",NULL,"N",130,67050,67050,0,0
829917,"12488",107,"DAP","18:45","18:45","00:00","00:00","1,1,1,1,1,1,1","240.00","8.13","735.84","NCR","PRYJ",NULL,"N",130,67530,67530,0,0
829917,"12488",108,"CAR","18:53","18:53","00:00","00:00","1,1,1,1,1,1,1","210.00","7.22","743.06","NCR","PRYJ",NULL,"N",130,68010,68010,0,0
